Gln1	Gln2	Gln3	Glu1	Glu2	Glu3	Glu_Gln_1	Glu_Gln_2	Glu_Gln_3	Glu_NH4_1	Glu_NH4_2	Glu_NH4_3	ctrl1	ctrl2	ctrl3
TSPAN6	20.1189746228988	24.4346796382853	22.2248910511467	23.5511804447665	22.7575788876061	21.8069815594728	26.9243330242571	28.9303156139381	29.5365229826211	23.6460483702082	24.4149495066858	24.1071626834741	34.59774791812	32.4801461695561	37.207064893242
DPM1	47.0673259526531	46.1543948723167	45.4320977288633	55.4574225235097	53.7744357526985	55.0566375086689	52.8850583402777	51.9785338623868	52.5933699909925	52.3457376849728	54.59858636698	52.5056527556294	70.24990339184	63.9549544814832	73.4001007642362
SCYL3	13.1665460834873	13.2731593096858	13.0156820520527	11.7755902223833	13.904108249869	12.0417672897089	8.61578656776227	9.60342427018694	10.0974950598723	12.1661726443024	13.2854617840677	11.8011503188734	10.8735779171234	8.50670494916947	8.19023441046206
FIRRM	10.8900871812021	11.6140143959751	9.1478142724333	13.6821143536263	13.7852697178188	13.0602252196842	18.0251324246606	21.5476832062319	19.8170090212467	12.1037820153572	13.0523835071542	13.5050597232028	27.2168950289211	25.5201148475084	26.520759043401
FUCA2	108.900871812021	109.553841423506	109.098429275933	105.363495370753	106.657582515021	112.92901164727	117.503457598495	113.14034218314	117.120143234561	120.16435134834	118.054147256672	117.380425631575	178.853881618624	171.835439973223	164.662712766528
GCLC	61.6489681105339	60.0308796051701	60.105437400753	58.7097283944537	57.3395917142033	57.8723741386008	36.8438241384571	35.2325627912483	35.152242160304	55.3404878743396	55.5891690438622	53.8940233813792	43.8238140296187	42.9975268339839	46.8793417208352
NFYA	47.2519037014871	48.2660338534031	47.3353342553428	52.26119089172	54.4280476789743	54.1579981586906	39.3945504249657	38.3536756790591	37.0421476527935	48.5399093193193	50.7527947979077	50.2968813055729	31.5663261957705	28.5361284203958	28.7048215528575
STPG1	13.0434942509313	12.3681711749345	12.7701031454102	16.878345985416	19.5489385222517	18.6317891895495	12.1301205625074	14.8252862171011	14.8492574409887	17.781329249365	16.024131537801	16.6604475089978	11.6643835838233	8.8933733559499	12.6363616618558
NIPAL3	32.3626319622164	29.7640542095986	31.2499158702587	43.5696838228181	43.910837592535	45.1716046589079	45.5729763189531	43.3954734209072	43.899804725541	43.111924601092	43.4690986443619	42.2821963296535	36.9042644459947	42.0695226577108	42.4332144694416
LAS1L	126.558809783801	132.631038859664	128.990320713976	106.092460479758	109.9256421464	106.219171167432	145.561446750089	148.252862171011	144.010798527697	108.247741219819	104.302528918777	105.45305980127	235.066984426541	243.910430997095	245.785034546343
ENPP4	1.04594057672563	1.25692796493237	1.10510507989127	1.28970750054674	0.950708256401299	1.31800437996814	0.906924901869713	1.62057784559405	1.29593519484992	1.24781257890281	1.80635664607938	1.83012491576112	1.18620850004983	1.46933994576564	1.40404018465064
SEMA3F	0.984414660447647	1.65914491371073	1.28928925987315	0.953262065621502	1.12896605447654	0.838730059979722	0.96360770823657	1.44051364052804	1.34993249463533	1.12303132101253	1.39846966148081	0.883508580022611	0.922606611149868	0.696003132204775	1.32603795217005
ANKIB1	121.513684649006	122.525338021608	121.438769334719	164.017149526053	152.232159556258	156.542974766215	150.94631335494	153.114595707793	152.002398895938	156.850041168083	158.551497870387	157.075203976877	105.77025792111	106.720480271399	106.94106073089
CYP51A1	15.9967382322743	14.5300872746182	14.4277607652471	10.878402395916	11.1708220127153	12.161585869706	17.9684496182937	14.1650507985257	16.1451926358386	16.7830791862428	17.5974099069669	16.5973397532819	15.8161133339977	15.7760709966416	13.4943862191423
KRIT1	65.4635749197685	68.9802067154886	70.0513831197744	82.0926861217576	86.5738705985433	83.5135502579809	80.9997302982388	79.0481860239762	81.5899199757595	81.9812864339145	83.3254839965649	83.7439918350003	39.9356861683443	37.5841691390578	38.6891073103732
RAD52	24.4873146786352	20.8650042178774	22.8388383177529	20.5792457695936	18.0634568716247	18.3921520295553	13.490507915312	14.3451150035917	14.3632817429199	16.2839541546817	16.0824011070293	15.5876156618275	14.3663029450479	14.6933994576564	11.9343415695304
MYH16	1.23051832555956	1.30720508352967	2.21021015978254	2.35511804447665	1.2478045865267	1.737369409958	3.23091996291085	3.18113428949942	2.75386228905608	1.43498446573823	1.51500879993754	1.38837062574982	3.16322266679955	3.63468302373605	3.43209822914601
BAD	9.84414660447647	10.5581949054319	9.08641954577267	11.158773591687	10.9331449486149	10.7237629097407	18.3652292628617	17.5262492930912	15.9832007364823	10.7311881785642	12.8193052302408	13.8837062574982	23.7900704732216	25.6747822102206	25.4287277886727
LAP3	203.896886545219	210.409741329679	211.7504122525	142.821087125763	141.358433873668	140.726922206598	182.405270888546	181.984889920042	177.165140595941	142.37541525281	141.361974948019	149.439165535253	287.655561262084	291.23864398702	296.87649682113
CD99	59.4340351245267	62.8463982466186	61.2719372073049	47.3266578461499	47.0600586918643	48.0472505788384	53.2251551784788	56.5401603907256	52.7013645905634	54.217456553327	53.5497341208694	54.7775319614019	62.2100457803911	68.6723090442044	64.0398328665653
WNT16	8.18294686497107	8.24544744995636	8.65665645914829	3.36445434925236	2.13909357690292	2.99546449992758	9.57939427599885	9.72346707356427	9.88150586073063	1.62215635257365	2.44732190759142	2.39809471720423	6.06284344469913	3.3253482983117	4.44612725139369
MAD1L1	64.4176343430429	67.4718931575697	68.5779096799194	47.3266578461499	49.8527641950431	45.2315139489065	70.3433627012696	65.6634134474032	67.3886301321958	45.9195029036234	45.8581509827249	50.9279588627319	98.2576040874609	105.637808732414	111.231183517323
